From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Gene Ontology (biological process)	Gene Ontology IDs	Keywords	Gene Ontology (cellular component)	Gene Ontology (molecular function)
Q12789	Q12789	reviewed	TF3C1_HUMAN	General transcription factor 3C polypeptide 1 (TF3C-alpha) (TFIIIC box B-binding subunit) (Transcription factor IIIC 220 kDa subunit) (TFIIIC 220 kDa subunit) (TFIIIC220) (Transcription factor IIIC subunit alpha)	GTF3C1	Homo sapiens (Human)	5S class rRNA transcription by RNA polymerase III [GO:0042791]; rRNA transcription [GO:0009303]; transcription by RNA polymerase III [GO:0006383]; transcription initiation at RNA polymerase III promoter [GO:0006384]; tRNA transcription [GO:0009304]; tRNA transcription by RNA polymerase III [GO:0042797]	GO:0000127; GO:0000995; GO:0003677; GO:0005654; GO:0005730; GO:0006383; GO:0006384; GO:0009303; GO:0009304; GO:0016020; GO:0042791; GO:0042797; GO:1990904	3D-structure;Alternative splicing;Direct protein sequencing;DNA-binding;Isopeptide bond;Nucleus;Phosphoprotein;Reference proteome;Transcription;Ubl conjugation	membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904]; transcription factor TFIIIC complex [GO:0000127]	DNA binding [GO:0003677]; RNA polymerase III general transcription initiation factor activity [GO:0000995]
Q2LD37	Q2LD37	reviewed	BLTP1_HUMAN	Bridge-like lipid transfer protein family member 1 (Fragile site-associated protein)	BLTP1 FSA KIAA1109 KIAA1371 TWEEK	Homo sapiens (Human)	endocytic recycling [GO:0032456]; endosomal transport [GO:0016197]; intermembrane lipid transfer [GO:0120009]; phagocytosis [GO:0006909]; regulation of cell growth [GO:0001558]; regulation of epithelial cell differentiation [GO:0030856]; synaptic vesicle endocytosis [GO:0048488]	GO:0001558; GO:0005634; GO:0005789; GO:0005886; GO:0006909; GO:0016020; GO:0016197; GO:0030856; GO:0031966; GO:0032456; GO:0048488; GO:0098793; GO:0120009; GO:0140268; GO:1904121	Alternative splicing;Cell membrane;Disease variant;Endoplasmic reticulum;Membrane;Mitochondrion;Phosphoprotein;Reference proteome;Transmembrane;Transmembrane helix	endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-plasma membrane contact site [GO:0140268]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; presynapse [GO:0098793]	phosphatidylethanolamine transfer activity [GO:1904121]
Q8C4Y3	Q8C4Y3	reviewed	NELFB_MOUSE	Negative elongation factor B (NELF-B) (Cofactor of BRCA1)	Nelfb Cobra1 MNCb-5210	Mus musculus (Mouse)	cell population proliferation [GO:0008283]; negative regulation of stem cell differentiation [GO:2000737]; negative regulation of transcription elongation by RNA polymerase II [GO:0034244]; stem cell differentiation [GO:0048863]	GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0005741; GO:0005829; GO:0008283; GO:0032021; GO:0034244; GO:0048863; GO:2000737	Acetylation;Alternative initiation;Nucleus;Phosphoprotein;Reference proteome;Repressor;RNA-binding;Transcription;Transcription regulation	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; NELF complex [GO:0032021]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	RNA binding [GO:0003723]
Q96MW7	Q96MW7	reviewed	TIGD1_HUMAN	Tigger transposable element-derived protein 1	TIGD1	Homo sapiens (Human)		GO:0003677; GO:0005634	DNA-binding;Nucleus;Reference proteome	nucleus [GO:0005634]	DNA binding [GO:0003677]
Q9NV58	Q9NV58	reviewed	RN19A_HUMAN	E3 ubiquitin-protein ligase RNF19A (EC 2.3.2.31) (Double ring-finger protein) (Dorfin) (RING finger protein 19A) (p38)	RNF19A RNF19	Homo sapiens (Human)	microtubule cytoskeleton organization [GO:0000226]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein polyubiquitination [GO:0000209]; regulation of protein catabolic process at postsynapse, modulating synaptic transmission [GO:0099576]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0000151; GO:0000209; GO:0000226; GO:0005737; GO:0005813; GO:0005829; GO:0006511; GO:0008270; GO:0016020; GO:0031624; GO:0032436; GO:0061630; GO:0098686; GO:0098794; GO:0098978; GO:0099576	Alternative splicing;Cytoplasm;Cytoskeleton;Membrane;Metal-binding;Phosphoprotein;Reference proteome;Repeat;Transferase;Transmembrane;Transmembrane helix;Ubl conjugation pathway;Zinc;Zinc-finger	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; membrane [GO:0016020]; postsynapse [GO:0098794]; ubiquitin ligase complex [GO:0000151]	ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
Q96RV3	Q96RV3	reviewed	PCX1_HUMAN	Pecanex-like protein 1 (Pecanex homolog protein 1)	PCNX1 KIAA0805 KIAA0995 PCNX PCNXL1	Homo sapiens (Human)		GO:0016020	Alternative splicing;Glycoprotein;Membrane;Reference proteome;Transmembrane;Transmembrane helix	membrane [GO:0016020]	
Q5WAG4	Q5WAG4	reviewed	MNMG_SHOC1	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	mnmG gidA ABC4116	Shouchella clausii (strain KSM-K16) (Alkalihalobacillus clausii)	tRNA wobble uridine modification [GO:0002098]	GO:0002098; GO:0005737; GO:0050660	Cytoplasm;FAD;Flavoprotein;NAD;Reference proteome;tRNA processing	cytoplasm [GO:0005737]	flavin adenine dinucleotide binding [GO:0050660]
Q62849	Q62849	reviewed	PCSK7_RAT	Proprotein convertase subtilisin/kexin type 7 (EC 3.4.21.-) (Prohormone convertase 7) (Proprotein convertase 7) (PC7) (rPC7) (Subtilisin/kexin-like protease PC7)	Pcsk7 Pc7	Rattus norvegicus (Rat)	protein processing [GO:0016485]	GO:0000139; GO:0004252; GO:0005802; GO:0008233; GO:0016020; GO:0016485	Cleavage on pair of basic residues;Direct protein sequencing;Glycoprotein;Golgi apparatus;Hydrolase;Membrane;Protease;Reference proteome;Serine protease;Signal;Transmembrane;Transmembrane helix;Zymogen	Golgi membrane [GO:0000139]; membrane [GO:0016020]; trans-Golgi network [GO:0005802]	peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252]
Q811G0	Q811G0	reviewed	PTHB1_MOUSE	Protein PTHB1 (Bardet-Biedl syndrome 9 protein homolog) (Parathyroid hormone-responsive B1 gene protein homolog)	Bbs9 Pthb1	Mus musculus (Mouse)	cilium assembly [GO:0060271]; fat cell differentiation [GO:0045444]; protein localization to cilium [GO:0061512]; protein transport [GO:0015031]	GO:0000242; GO:0005737; GO:0005929; GO:0015031; GO:0016020; GO:0034451; GO:0034464; GO:0035869; GO:0036064; GO:0045444; GO:0060170; GO:0060271; GO:0061512	Alternative splicing;Cell membrane;Cell projection;Cilium;Cilium biogenesis/degradation;Cytoplasm;Cytoskeleton;Membrane;Protein transport;Reference proteome;Transport	BBSome [GO:0034464]; centriolar satellite [GO:0034451]; ciliary basal body [GO:0036064]; ciliary membrane [GO:0060170]; ciliary transition zone [GO:0035869]; cilium [GO:0005929]; cytoplasm [GO:0005737]; membrane [GO:0016020]; pericentriolar material [GO:0000242]	
P23475	P23475	reviewed	XRCC6_MOUSE	X-ray repair cross-complementing protein 6 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP/AP lyase Ku70) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (CTC75) (CTCBF) (DNA repair protein XRCC6) (Ku autoantigen protein p70 homolog) (Ku70)	Xrcc6 G22p1 Ku70	Mus musculus (Mouse)	activation of innate immune response [GO:0002218]; cellular hyperosmotic salinity response [GO:0071475]; cellular response to gamma radiation [GO:0071480]; cellular response to X-ray [GO:0071481]; DNA damage response [GO:0006974]; double-strand break repair [GO:0006302]; double-strand break repair via classical nonhomologous end joining [GO:0097680]; double-strand break repair via nonhomologous end joining [GO:0006303]; innate immune response [GO:0045087]; negative regulation of DNA-templated transcription [GO:0045892]; neurogenesis [GO:0022008]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of lymphocyte differentiation [GO:0045621]; positive regulation of neurogenesis [GO:0050769]; positive regulation of transcription by RNA polymerase II [GO:0045944]; recombinational repair [GO:0000725]; regulation of smooth muscle cell proliferation [GO:0048660]; response to ionizing radiation [GO:0010212]; telomere maintenance [GO:0000723]; V(D)J recombination [GO:0033151]	GO:0000723; GO:0000725; GO:0000976; GO:0002218; GO:0003678; GO:0003684; GO:0003690; GO:0005524; GO:0005634; GO:0005654; GO:0005667; GO:0005694; GO:0005730; GO:0005737; GO:0005958; GO:0006302; GO:0006303; GO:0006974; GO:0008094; GO:0010212; GO:0016887; GO:0022008; GO:0030332; GO:0032991; GO:0032993; GO:0033151; GO:0042162; GO:0043564; GO:0044877; GO:0045087; GO:0045621; GO:0045892; GO:0045893; GO:0045944; GO:0048660; GO:0050769; GO:0051575; GO:0070418; GO:0070419; GO:0071475; GO:0071480; GO:0071481; GO:0097110; GO:0097680	Acetylation;Activator;ADP-ribosylation;ATP-binding;Chromosome;DNA damage;DNA recombination;DNA repair;DNA-binding;Helicase;Hydrolase;Immunity;Innate immunity;Isopeptide bond;Lyase;Multifunctional enzyme;Nucleotide-binding;Nucleus;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Ubl conjugation	chromosome [GO:0005694]; cytoplasm [GO:0005737]; DNA-dependent protein kinase complex [GO:0070418]; DNA-dependent protein kinase-DNA ligase 4 complex [GO:0005958]; Ku70:Ku80 complex [GO:0043564]; nonhomologous end joining complex [GO:0070419]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; protein-DNA complex [GO:0032993]; transcription regulator complex [GO:0005667]	5'-deoxyribose-5-phosphate lyase activity [GO:0051575]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on DNA [GO:0008094]; cyclin binding [GO:0030332]; damaged DNA binding [GO:0003684]; DNA helicase activity [GO:0003678]; double-stranded DNA binding [GO:0003690]; protein-containing complex binding [GO:0044877]; scaffold protein binding [GO:0097110]; telomeric DNA binding [GO:0042162]; transcription cis-regulatory region binding [GO:0000976]
Q6DEL2	Q6DEL2	reviewed	CLPT1_DANRE	Putative lipid scramblase CLPTM1 (Cleft lip and palate transmembrane protein 1 homolog)	clptm1 zgc:100803	Danio rerio (Zebrafish) (Brachydanio rerio)	cell differentiation [GO:0030154]	GO:0012505; GO:0016020; GO:0030154	Developmental protein;Differentiation;Glycoprotein;Membrane;Reference proteome;Transmembrane;Transmembrane helix	endomembrane system [GO:0012505]; membrane [GO:0016020]	
Q9Y4E6	Q9Y4E6	reviewed	WDR7_HUMAN	WD repeat-containing protein 7 (Rabconnectin-3 beta) (TGF-beta resistance-associated protein TRAG)	WDR7 KIAA0541 TRAG	Homo sapiens (Human)	hematopoietic progenitor cell differentiation [GO:0002244]	GO:0002244; GO:0005737	Alternative splicing;Phosphoprotein;Reference proteome;Repeat;WD repeat	cytoplasm [GO:0005737]	
Q06730	Q06730	reviewed	ZN33A_HUMAN	Zinc finger protein 33A (Zinc finger and ZAK-associated protein with KRAB domain) (ZZaPK) (Zinc finger protein 11A) (Zinc finger protein KOX31)	ZNF33A KIAA0065 KOX31 ZNF11 ZNF11A ZNF33	Homo sapiens (Human)	regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000978; GO:0001228; GO:0003700; GO:0005634; GO:0006355; GO:0006357; GO:0046872	Alternative splicing;DNA-binding;Isopeptide bond;Metal-binding;Nucleus;Reference proteome;Repeat;Transcription;Transcription regulation;Ubl conjugation;Zinc;Zinc-finger	nucleus [GO:0005634]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
Q80WQ4	Q80WQ4	reviewed	TRM9B_MOUSE	Probable tRNA methyltransferase 9B (Probable tRNA methyltransferase 9-like protein) (EC 2.1.1.-)	Trmt9b Kiaa1456 Trmt9l	Mus musculus (Mouse)	tRNA methylation [GO:0030488]; tRNA wobble uridine modification [GO:0002098]	GO:0000049; GO:0002098; GO:0005634; GO:0005737; GO:0008175; GO:0008757; GO:0030488; GO:0106335	Alternative splicing;Methyltransferase;Phosphoprotein;Reference proteome;S-adenosyl-L-methionine;Transferase;tRNA processing	cytoplasm [GO:0005737]; nucleus [GO:0005634]	S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; tRNA (5-carboxymethyluridine(34)-5-O)-methyltransferase activity [GO:0106335]; tRNA binding [GO:0000049]; tRNA methyltransferase activity [GO:0008175]
Q9V6L0	Q9V6L0	reviewed	KDM4B_DROME	Probable lysine-specific demethylase 4B (EC 1.14.11.66) (Probable JmjC domain-containing histone demethylation protein 3B) (Probable [histone H3]-trimethyl-L-lysine(9) demethylase 4B)	Kdm4B CG33182	Drosophila melanogaster (Fruit fly)	chromatin remodeling [GO:0006338]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of gene expression [GO:0010468]	GO:0000785; GO:0005634; GO:0006338; GO:0010468; GO:0032454; GO:0045892; GO:0046872; GO:0051864; GO:0140681; GO:0140684	Chromatin regulator;Dioxygenase;Iron;Metal-binding;Nucleus;Oxidoreductase;Reference proteome;Transcription;Transcription regulation;Zinc	chromatin [GO:0000785]; nucleus [GO:0005634]	histone H3K36 demethylase activity [GO:0051864]; histone H3K36me2/H3K36me3 demethylase activity [GO:0140681]; histone H3K9 demethylase activity [GO:0032454]; histone H3K9me2/H3K9me3 demethylase activity [GO:0140684]; metal ion binding [GO:0046872]
E9QI36	E9QI36	reviewed	HARS1_DANRE	Histidine--tRNA ligase (EC 6.1.1.21)	hars	Danio rerio (Zebrafish) (Brachydanio rerio)	histidyl-tRNA aminoacylation [GO:0006427]; mitochondrial translation [GO:0032543]; regulation of vasculature development [GO:1901342]; sprouting angiogenesis [GO:0002040]	GO:0002040; GO:0003723; GO:0004821; GO:0005524; GO:0005737; GO:0005739; GO:0005829; GO:0006427; GO:0032543; GO:0042802; GO:1901342	Alternative splicing;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Ligase;Mitochondrion;Nucleotide-binding;Protein biosynthesis;Reference proteome	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]	ATP binding [GO:0005524]; histidine-tRNA ligase activity [GO:0004821]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]
Q3TWI9	Q3TWI9	reviewed	CSCL2_MOUSE	CSC1-like protein 2 (Transmembrane protein 63B)	Tmem63b	Mus musculus (Mouse)		GO:0005227; GO:0005886; GO:0008381; GO:0015629; GO:1990760	Calcium;Cell membrane;Ion channel;Ion transport;Membrane;Phosphoprotein;Reference proteome;Transmembrane;Transmembrane helix;Transport	actin cytoskeleton [GO:0015629]; plasma membrane [GO:0005886]	calcium activated cation channel activity [GO:0005227]; mechanosensitive monoatomic ion channel activity [GO:0008381]; osmolarity-sensing monoatomic cation channel activity [GO:1990760]
Q94887	Q94887	reviewed	NRX4_DROME	Neurexin-4 (Neurexin IV)	Nrx-IV Nrx CG6827	Drosophila melanogaster (Fruit fly)	axon ensheathment [GO:0008366]; cell adhesion involved in heart morphogenesis [GO:0061343]; cell-cell junction organization [GO:0045216]; dorsal closure [GO:0007391]; establishment of glial blood-brain barrier [GO:0060857]; heart process [GO:0003015]; nerve maturation [GO:0021682]; presynaptic membrane assembly [GO:0097105]; protein localization [GO:0008104]; regulation of tube size, open tracheal system [GO:0035151]; septate junction assembly [GO:0019991]; synaptic target recognition [GO:0008039]; terminal button organization [GO:0072553]	GO:0003015; GO:0005886; GO:0005919; GO:0007391; GO:0008039; GO:0008104; GO:0008366; GO:0019991; GO:0021682; GO:0035151; GO:0045202; GO:0045216; GO:0048786; GO:0060857; GO:0061343; GO:0072553; GO:0097105	Cell adhesion;Cell junction;Cell membrane;Disulfide bond;EGF-like domain;Glycoprotein;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	plasma membrane [GO:0005886]; pleated septate junction [GO:0005919]; presynaptic active zone [GO:0048786]; synapse [GO:0045202]	
Q8MQJ9	Q8MQJ9	reviewed	BRAT_DROME	Brain tumor protein	brat CG10719	Drosophila melanogaster (Fruit fly)	asymmetric cell division [GO:0008356]; asymmetric neuroblast division resulting in ganglion mother cell formation [GO:0055060]; brain development [GO:0007420]; ganglion mother cell fate determination [GO:0007402]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of translation [GO:0017148]; neuroblast development [GO:0014019]; neuroblast differentiation [GO:0014016]; neuroblast fate determination [GO:0007400]; neuroblast proliferation [GO:0007405]; neuron differentiation [GO:0030182]; oogenesis [GO:0048477]; regulation of neuroblast proliferation [GO:1902692]; regulation of neurogenesis [GO:0050767]; regulation of synaptic assembly at neuromuscular junction [GO:0008582]; regulation of synaptic vesicle endocytosis [GO:1900242]; regulation of translation [GO:0006417]; rRNA transcription [GO:0009303]; segmentation [GO:0035282]; ventral cord development [GO:0007419]	GO:0003730; GO:0005737; GO:0005829; GO:0006417; GO:0007400; GO:0007402; GO:0007405; GO:0007406; GO:0007419; GO:0007420; GO:0008270; GO:0008285; GO:0008356; GO:0008582; GO:0009303; GO:0010629; GO:0014016; GO:0014019; GO:0017148; GO:0030182; GO:0030371; GO:0035282; GO:0043025; GO:0045179; GO:0045180; GO:0045182; GO:0048477; GO:0050767; GO:0055060; GO:1900242; GO:1902692	3D-structure;Cytoplasm;Metal-binding;Reference proteome;Repeat;Repressor;Translation regulation;Zinc;Zinc-finger	apical cortex [GO:0045179]; basal cortex [GO:0045180]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; neuronal cell body [GO:0043025]	mRNA 3'-UTR binding [GO:0003730]; translation regulator activity [GO:0045182]; translation repressor activity [GO:0030371]; zinc ion binding [GO:0008270]
Q13136	Q13136	reviewed	LIPA1_HUMAN	Liprin-alpha-1 (LAR-interacting protein 1) (LIP-1) (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-1) (PTPRF-interacting protein alpha-1)	PPFIA1 LIP1	Homo sapiens (Human)	cell-matrix adhesion [GO:0007160]; negative regulation of protein localization to plasma membrane [GO:1903077]; negative regulation of stress fiber assembly [GO:0051497]; regulation of postsynaptic membrane neurotransmitter receptor levels [GO:0099072]; signal transduction [GO:0007165]; synapse organization [GO:0050808]	GO:0005737; GO:0005829; GO:0005925; GO:0007160; GO:0007165; GO:0030424; GO:0032991; GO:0048786; GO:0050808; GO:0051497; GO:0097444; GO:0098685; GO:0099072; GO:1903077	3D-structure;Alternative splicing;Coiled coil;Cytoplasm;Phosphoprotein;Reference proteome;Repeat	axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; presynaptic active zone [GO:0048786]; protein-containing complex [GO:0032991]; Schaffer collateral - CA1 synapse [GO:0098685]; spine apparatus [GO:0097444]	
Q8WVQ1	Q8WVQ1	reviewed	CANT1_HUMAN	Soluble calcium-activated nucleotidase 1 (SCAN-1) (EC 3.6.1.6) (Apyrase homolog) (Putative MAPK-activating protein PM09) (Putative NF-kappa-B-activating protein 107)	CANT1 SHAPY	Homo sapiens (Human)	positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; proteoglycan biosynthetic process [GO:0030166]	GO:0004382; GO:0005509; GO:0005576; GO:0005789; GO:0005794; GO:0005886; GO:0016020; GO:0030166; GO:0032580; GO:0035580; GO:0042803; GO:0043123; GO:0043262; GO:0045134; GO:0070062; GO:1904724; GO:1904813	3D-structure;Alternative splicing;Calcium;Cell membrane;Disease variant;Disulfide bond;Dwarfism;Endoplasmic reticulum;Glycoprotein;Golgi apparatus;Hydrolase;Membrane;Metal-binding;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix	endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; membrane [GO:0016020]; plasma membrane [GO:0005886]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]	ADP phosphatase activity [GO:0043262]; calcium ion binding [GO:0005509]; GDP phosphatase activity [GO:0004382]; protein homodimerization activity [GO:0042803]; UDP phosphatase activity [GO:0045134]
Q5ZL33	Q5ZL33	reviewed	STRAP_CHICK	Serine-threonine kinase receptor-associated protein	STRAP RCJMB04_7p19	Gallus gallus (Chicken)	alternative mRNA splicing, via spliceosome [GO:0000380]; maintenance of gastrointestinal epithelium [GO:0030277]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neuron differentiation [GO:0030182]; spliceosomal snRNP assembly [GO:0000387]	GO:0000122; GO:0000380; GO:0000387; GO:0003723; GO:0003729; GO:0005102; GO:0005634; GO:0005829; GO:0030182; GO:0030277; GO:0030512; GO:0032797; GO:0034719; GO:1990447	Cytoplasm;mRNA processing;mRNA splicing;Nucleus;Reference proteome;Repeat;WD repeat	cytosol [GO:0005829]; nucleus [GO:0005634]; SMN complex [GO:0032797]; SMN-Sm protein complex [GO:0034719]	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; signaling receptor binding [GO:0005102]; U2 snRNP binding [GO:1990447]
Q9UTL4	Q9UTL4	reviewed	GWT1_SCHPO	GPI-anchored wall transfer protein 1 (EC 2.3.-.-) (Meiotically up-regulated gene 59 protein)	gwt1 mug59 SPAC144.10c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	meiotic cell cycle [GO:0051321]; protein localization to plasma membrane [GO:0072659]	GO:0005789; GO:0032216; GO:0051321; GO:0072659	Acyltransferase;Endoplasmic reticulum;Glycoprotein;GPI-anchor biosynthesis;Meiosis;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix	endoplasmic reticulum membrane [GO:0005789]	glucosaminyl-phosphatidylinositol O-acyltransferase activity [GO:0032216]
Q569L8	Q569L8	reviewed	CENPJ_MOUSE	Centromere protein J (CENP-J)	Cenpj	Mus musculus (Mouse)	astral microtubule nucleation [GO:0030954]; centriole assembly [GO:0098534]; centriole elongation [GO:0061511]; centriole replication [GO:0007099]; centrosome duplication [GO:0051298]; cilium assembly [GO:0060271]; microtubule polymerization [GO:0046785]; motile cilium assembly [GO:0044458]; non-motile cilium assembly [GO:1905515]; positive regulation of centriole elongation [GO:1903724]; positive regulation of centriole replication [GO:0046601]; positive regulation of establishment of protein localization [GO:1904951]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of non-motile cilium assembly [GO:1902857]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of spindle assembly [GO:1905832]; regulation of centriole replication [GO:0046599]; regulation of mitotic spindle organization [GO:0060236]; smoothened signaling pathway [GO:0007224]	GO:0003713; GO:0005737; GO:0005813; GO:0005814; GO:0005874; GO:0007099; GO:0007224; GO:0015631; GO:0019901; GO:0019904; GO:0030954; GO:0036064; GO:0042802; GO:0043015; GO:0044458; GO:0046427; GO:0046599; GO:0046601; GO:0046785; GO:0051298; GO:0060236; GO:0060271; GO:0061511; GO:0098534; GO:0120099; GO:1900087; GO:1902857; GO:1903724; GO:1904951; GO:1905515; GO:1905832	Cytoplasm;Cytoskeleton;Microtubule;Phosphoprotein;Reference proteome	centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; procentriole replication complex [GO:0120099]	gamma-tubulin binding [GO:0043015]; identical protein binding [GO:0042802]; protein domain specific binding [GO:0019904]; protein kinase binding [GO:0019901]; transcription coactivator activity [GO:0003713]; tubulin binding [GO:0015631]
Q641G3	Q641G3	reviewed	CCAR1_XENLA	Cell division cycle and apoptosis regulator protein 1	ccar1	Xenopus laevis (African clawed frog)	cell cycle [GO:0007049]; regulation of DNA-templated transcription [GO:0006355]; regulation of translation [GO:0006417]	GO:0006355; GO:0006417; GO:0007049; GO:0048471	Activator;Cell cycle;Coiled coil;Cytoplasm;Phosphoprotein;Reference proteome;Translation regulation	perinuclear region of cytoplasm [GO:0048471]	
P54369	P54369	reviewed	OAZ1_MOUSE	Ornithine decarboxylase antizyme 1 (ODC-Az)	Oaz1 Oaz	Mus musculus (Mouse)	negative regulation of polyamine transmembrane transport [GO:1902268]; polyamine biosynthetic process [GO:0006596]; polyamine metabolic process [GO:0006595]; positive regulation of intracellular protein transport [GO:0090316]; positive regulation of protein catabolic process [GO:0045732]	GO:0005634; GO:0005737; GO:0006595; GO:0006596; GO:0008073; GO:0019899; GO:0044877; GO:0045732; GO:0090316; GO:1902268	Polyamine biosynthesis;Reference proteome;Ribosomal frameshifting;Transport	cytoplasm [GO:0005737]; nucleus [GO:0005634]	enzyme binding [GO:0019899]; ornithine decarboxylase inhibitor activity [GO:0008073]; protein-containing complex binding [GO:0044877]
Q63679	Q63679	reviewed	KDM3A_RAT	Lysine-specific demethylase 3A (EC 1.14.11.65) (JmjC domain-containing histone demethylation protein 2A) (Jumonji domain-containing protein 1A) (Testis-specific gene A protein) (Zinc finger protein TSGA) ([histone H3]-dimethyl-L-lysine(9) demethylase 3A)	Kdm3a Jhdm2a Jmjd1a Tsga	Rattus norvegicus (Rat)	androgen receptor signaling pathway [GO:0030521]; cellular response to leukemia inhibitory factor [GO:1990830]; formaldehyde biosynthetic process [GO:0046293]; hormone-mediated signaling pathway [GO:0009755]; male gonad development [GO:0008584]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of gene expression [GO:0010468]; regulation of stem cell differentiation [GO:2000736]; regulation of stem cell population maintenance [GO:2000036]; regulation of transcription by RNA polymerase II [GO:0006357]; response to hypoxia [GO:0001666]; spermatid nucleus elongation [GO:0007290]; spermatogenesis [GO:0007283]	GO:0000118; GO:0000785; GO:0001666; GO:0001673; GO:0003682; GO:0003712; GO:0005506; GO:0005634; GO:0005737; GO:0006357; GO:0007283; GO:0007290; GO:0008584; GO:0009755; GO:0010468; GO:0010628; GO:0030521; GO:0031490; GO:0032454; GO:0045893; GO:0045944; GO:0046293; GO:0050681; GO:0120162; GO:0140683; GO:1990830; GO:2000036; GO:2000736	Acetylation;Activator;Chromatin regulator;Cytoplasm;Differentiation;Dioxygenase;Iron;Metal-binding;Nucleus;Oxidoreductase;Phosphoprotein;Reference proteome;Spermatogenesis;Transcription;Transcription regulation;Zinc;Zinc-finger	chromatin [GO:0000785]; cytoplasm [GO:0005737]; histone deacetylase complex [GO:0000118]; male germ cell nucleus [GO:0001673]; nucleus [GO:0005634]	chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; histone H3K9 demethylase activity [GO:0032454]; histone H3K9me/H3K9me2 demethylase activity [GO:0140683]; iron ion binding [GO:0005506]; nuclear androgen receptor binding [GO:0050681]; transcription coregulator activity [GO:0003712]
