"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"39053"	"PGA_scaffold1__111_contigs__length_23635802"	20275023	20275023	"+"	7.94382061211867e-08	1.45338304552746e-06	26.1072763876905
"39258"	"PGA_scaffold20__42_contigs__length_7444180"	596407	596407	"+"	2.2511408719398e-36	3.82684043364089e-33	44.4516495096053
"39655"	"PGA_scaffold20__42_contigs__length_7444180"	1337211	1337211	"+"	2.97829976370873e-34	4.03669911829911e-31	-33.5792503096237
"39736"	"PGA_scaffold20__42_contigs__length_7444180"	1728896	1728896	"+"	1.05342533575516e-09	3.05982700627377e-08	27.7577957432767
"39807"	"PGA_scaffold20__42_contigs__length_7444180"	1737077	1737077	"+"	6.1758268731966e-15	5.11494139706509e-13	28.226938808734
"39914"	"PGA_scaffold20__42_contigs__length_7444180"	2180047	2180047	"+"	7.05180470453433e-12	3.30967574012494e-10	29.2346586991496
"39927"	"PGA_scaffold20__42_contigs__length_7444180"	2186751	2186751	"+"	8.29936136937228e-23	2.35142486028602e-20	25.0749250749251
"40017"	"PGA_scaffold20__42_contigs__length_7444180"	2244204	2244204	"+"	1.52076570411851e-13	9.86603184196401e-12	26.744879697753
"40202"	"PGA_scaffold20__42_contigs__length_7444180"	2458789	2458789	"+"	6.08098212163518e-13	3.55457555965046e-11	30.5814459930314
"40353"	"PGA_scaffold20__42_contigs__length_7444180"	2630127	2630127	"+"	2.34616455029862e-20	4.59243141792627e-18	31.447847504819
"40445"	"PGA_scaffold20__42_contigs__length_7444180"	2643803	2643803	"+"	8.83535024714382e-17	1.01507754132447e-14	-25.7511154200014
"40508"	"PGA_scaffold20__42_contigs__length_7444180"	2955273	2955273	"+"	8.36663684819574e-17	9.65652423961816e-15	25.9916653804599
"40517"	"PGA_scaffold20__42_contigs__length_7444180"	2955631	2955631	"+"	4.97687386324398e-12	2.42314334330052e-10	-25.3873352619736
"40544"	"PGA_scaffold20__42_contigs__length_7444180"	2957312	2957312	"+"	2.31086257795012e-21	5.2405851329483e-19	36.9307832422586
"40570"	"PGA_scaffold20__42_contigs__length_7444180"	2959294	2959294	"+"	1.53538898857923e-48	8.10502788140623e-45	-59.3431343431343
"40576"	"PGA_scaffold20__42_contigs__length_7444180"	2959487	2959487	"+"	9.66599500235767e-21	2.01973792959165e-18	-28.6815523657629
"40589"	"PGA_scaffold20__42_contigs__length_7444180"	2959945	2959945	"+"	3.71596380386209e-11	1.48545844175158e-09	30.9203296703297
"40602"	"PGA_scaffold20__42_contigs__length_7444180"	2963216	2963216	"+"	2.44915124524283e-15	2.17576184233993e-13	26.538777747328
"40614"	"PGA_scaffold20__42_contigs__length_7444180"	2963987	2963987	"+"	5.09699905030346e-08	9.76907649802868e-07	25.619728008263
"40626"	"PGA_scaffold20__42_contigs__length_7444180"	2964634	2964634	"+"	4.68342368187168e-18	6.79790502623848e-16	-27.8958741305963
"40628"	"PGA_scaffold20__42_contigs__length_7444180"	2964646	2964646	"+"	1.32125520096553e-16	1.48230947127209e-14	-25.8804180652694
"40707"	"PGA_scaffold20__42_contigs__length_7444180"	2967668	2967668	"+"	4.46823418164865e-22	1.11204041951354e-19	-32.2814564449224
"40743"	"PGA_scaffold20__42_contigs__length_7444180"	3010436	3010436	"+"	2.0671607838065e-08	4.40567064066974e-07	26.3418079096045
"40881"	"PGA_scaffold20__42_contigs__length_7444180"	3103875	3103875	"+"	1.73893244561515e-19	3.07060581156391e-17	-31.6553165144714
"40882"	"PGA_scaffold20__42_contigs__length_7444180"	3103877	3103877	"+"	6.01787961604326e-22	1.46499442552621e-19	-32.1270442760271
"40898"	"PGA_scaffold20__42_contigs__length_7444180"	3132626	3132626	"+"	5.73474699375399e-22	1.40630864621524e-19	35.7670886075949
"41025"	"PGA_scaffold20__42_contigs__length_7444180"	3274001	3274001	"+"	1.66465797386937e-35	2.41972280281531e-32	-41.724260286088
"41096"	"PGA_scaffold20__42_contigs__length_7444180"	3318902	3318902	"+"	3.16532991696865e-14	2.33780834759486e-12	27.4046448550602
"41259"	"PGA_scaffold20__42_contigs__length_7444180"	3365439	3365439	"+"	1.36524389758863e-21	3.16968562060514e-19	28.7418558824052
"41263"	"PGA_scaffold20__42_contigs__length_7444180"	3365493	3365493	"+"	5.98674521785671e-25	2.33640079378338e-22	-32.8409693115575
"41521"	"PGA_scaffold20__42_contigs__length_7444180"	5076763	5076763	"+"	1.12027087662339e-08	2.53978889573674e-07	-26.6156998738966
"41563"	"PGA_scaffold20__42_contigs__length_7444180"	5078936	5078936	"+"	5.16942407543388e-19	8.54167735008209e-17	29.1931330472103
"41629"	"PGA_scaffold20__42_contigs__length_7444180"	5120175	5120175	"+"	2.1767041060701e-11	9.17687142509116e-10	-26.116303219107
"41672"	"PGA_scaffold20__42_contigs__length_7444180"	5128352	5128352	"+"	4.79018470180792e-18	6.91285022252359e-16	29.5980590827121
"41683"	"PGA_scaffold20__42_contigs__length_7444180"	5209159	5209159	"+"	2.00754413826255e-13	1.27437636433078e-11	-40.9663211282644
"41718"	"PGA_scaffold20__42_contigs__length_7444180"	5216181	5216181	"+"	6.3059120241857e-29	4.24474232304022e-26	53.1569860648662
"41750"	"PGA_scaffold20__42_contigs__length_7444180"	5220351	5220351	"+"	5.74193558389498e-18	8.07715614630976e-16	-51.7304189435337
"41790"	"PGA_scaffold20__42_contigs__length_7444180"	5652097	5652097	"+"	9.7155786273486e-24	3.14337843572095e-21	-29.4038970118856
"41803"	"PGA_scaffold20__42_contigs__length_7444180"	5653230	5653230	"+"	6.8275683115879e-14	4.75877260292418e-12	26.2543323980855
"41874"	"PGA_scaffold20__42_contigs__length_7444180"	5678195	5678195	"+"	1.48791752004919e-24	5.46645658194757e-22	-34.1287475504945
"41914"	"PGA_scaffold20__42_contigs__length_7444180"	5696335	5696335	"+"	7.50782368188198e-16	7.4555962899587e-14	25.8253884180791
"42056"	"PGA_scaffold20__42_contigs__length_7444180"	6528526	6528526	"+"	3.65807688045533e-16	3.78242901948338e-14	27.2135673437192
"42121"	"PGA_scaffold20__42_contigs__length_7444180"	6533364	6533364	"+"	2.89927127018801e-10	9.53095319596137e-09	37.1887550200803
"42138"	"PGA_scaffold20__42_contigs__length_7444180"	6607455	6607455	"+"	3.17804702221366e-16	3.33071960550016e-14	26.8205031208625
"42142"	"PGA_scaffold20__42_contigs__length_7444180"	6608015	6608015	"+"	1.89340388601277e-13	1.20880645809735e-11	26.0095456459688
"42143"	"PGA_scaffold20__42_contigs__length_7444180"	6608030	6608030	"+"	3.73385629938577e-16	3.85284047210187e-14	26.9956194147538
"42321"	"PGA_scaffold20__42_contigs__length_7444180"	6898831	6898831	"+"	5.47986870731493e-15	4.57632477790117e-13	26.1891359414579
"42332"	"PGA_scaffold20__42_contigs__length_7444180"	7080803	7080803	"+"	1.26165855675566e-14	9.97958028611633e-13	30.5201605864898
"42429"	"PGA_scaffold20__42_contigs__length_7444180"	7113237	7113237	"+"	6.86304567304075e-23	1.97233714847196e-20	28.7629807143672
"42573"	"PGA_scaffold20__42_contigs__length_7444180"	7174824	7174824	"+"	1.01310315259821e-11	4.56476263390607e-10	-26.8253363425858
"43191"	"PGA_scaffold21__67_contigs__length_16858916"	631907	631907	"+"	9.17079689783324e-14	6.24868968637542e-12	25.5618559843912
"43192"	"PGA_scaffold21__67_contigs__length_16858916"	631921	631921	"+"	8.68504186300944e-13	4.89649889174862e-11	25.109727926078
"43195"	"PGA_scaffold21__67_contigs__length_16858916"	632012	632012	"+"	4.42485802270455e-07	6.61896753056853e-06	-25.7702984038862
"43309"	"PGA_scaffold21__67_contigs__length_16858916"	737204	737204	"+"	5.04125359216127e-10	1.57417387423143e-08	-28.8353778585491
"43728"	"PGA_scaffold21__67_contigs__length_16858916"	1744642	1744642	"+"	8.5815395916194e-10	2.55175257547991e-08	29.9268464657148
"44162"	"PGA_scaffold21__67_contigs__length_16858916"	2876263	2876263	"+"	1.90301792029657e-23	5.98331527423556e-21	-33.6383405821345
"44255"	"PGA_scaffold21__67_contigs__length_16858916"	3086472	3086472	"+"	1.79867081132686e-24	6.56007320361204e-22	30.4267332741137
"44271"	"PGA_scaffold21__67_contigs__length_16858916"	3099726	3099726	"+"	5.44722487631688e-30	4.30190956156608e-27	35.2896129211919
"44309"	"PGA_scaffold21__67_contigs__length_16858916"	3741895	3741895	"+"	2.40382679945914e-06	2.91040062468016e-05	-28.2664011505698
"44540"	"PGA_scaffold21__67_contigs__length_16858916"	4425082	4425082	"+"	2.29850516607288e-12	1.19571629320833e-10	-34.5304241767177
"44696"	"PGA_scaffold21__67_contigs__length_16858916"	5698245	5698245	"+"	2.10075950668693e-22	5.53020275679522e-20	36.7062051872178
"44697"	"PGA_scaffold21__67_contigs__length_16858916"	5698496	5698496	"+"	9.28349789702662e-22	2.1960158950149e-19	36.8028027067236
"44716"	"PGA_scaffold21__67_contigs__length_16858916"	5698934	5698934	"+"	6.50261028670842e-11	2.45647808377883e-09	25.4265734265734
"44719"	"PGA_scaffold21__67_contigs__length_16858916"	5698985	5698985	"+"	1.22196924115638e-16	1.38329957906554e-14	39.8156247897181
"45226"	"PGA_scaffold21__67_contigs__length_16858916"	8681327	8681327	"+"	2.55041783136101e-06	3.06237624450935e-05	25.2816276370588
"45404"	"PGA_scaffold21__67_contigs__length_16858916"	11148029	11148029	"+"	2.44209051301084e-08	5.09857075117995e-07	25.1897860593513
"46105"	"PGA_scaffold22__59_contigs__length_10008237"	1676150	1676150	"+"	9.09665042553626e-18	1.23460138449841e-15	-29.6413652572593
"46114"	"PGA_scaffold22__59_contigs__length_10008237"	1678477	1678477	"+"	3.75700647532788e-31	3.39475672467003e-28	-28.4015668873713
"46231"	"PGA_scaffold22__59_contigs__length_10008237"	2172154	2172154	"+"	8.30891765498025e-06	8.49849960411991e-05	25.8227597145123
"46511"	"PGA_scaffold22__59_contigs__length_10008237"	3828938	3828938	"+"	6.9004089915468e-09	1.65422214397167e-07	26.6851083448594
"46621"	"PGA_scaffold22__59_contigs__length_10008237"	3967410	3967410	"+"	4.26533148890562e-14	3.07195312827355e-12	33.121116120385
"46622"	"PGA_scaffold22__59_contigs__length_10008237"	3967428	3967428	"+"	5.20813684582285e-13	3.08907513615144e-11	30.4610333224791
"46770"	"PGA_scaffold22__59_contigs__length_10008237"	4204205	4204205	"+"	8.64102155358395e-09	2.01880277214453e-07	27.4002091149517
"46781"	"PGA_scaffold22__59_contigs__length_10008237"	4204655	4204655	"+"	3.67317192837703e-14	2.68324551354916e-12	-25.360056451572
"46814"	"PGA_scaffold22__59_contigs__length_10008237"	4208210	4208210	"+"	8.57101004678859e-11	3.15699617222591e-09	28.3738796414853
"46956"	"PGA_scaffold22__59_contigs__length_10008237"	4513968	4513968	"+"	4.12434053203867e-10	1.30988172495914e-08	27.7891216335152
"47125"	"PGA_scaffold22__59_contigs__length_10008237"	5250985	5250985	"+"	5.97215158903884e-27	2.99495650458184e-24	-33.3651399491094
"47221"	"PGA_scaffold22__59_contigs__length_10008237"	5366388	5366388	"+"	9.6104964480904e-31	8.30955039037058e-28	-34.3076594836783
"47371"	"PGA_scaffold22__59_contigs__length_10008237"	5912706	5912706	"+"	4.85790966894587e-08	9.34834475936392e-07	28.0313002778997
"47428"	"PGA_scaffold22__59_contigs__length_10008237"	5940177	5940177	"+"	2.68997510607459e-22	6.93566889646763e-20	26.0021971437132
"47430"	"PGA_scaffold22__59_contigs__length_10008237"	5940222	5940222	"+"	1.17376508451595e-33	1.47156988662769e-30	-40.1409144659046
"47607"	"PGA_scaffold22__59_contigs__length_10008237"	6415019	6415019	"+"	2.92461420581398e-16	3.09747848640791e-14	26.6867848610587
"47657"	"PGA_scaffold22__59_contigs__length_10008237"	6533622	6533622	"+"	2.31469521679831e-21	5.2405851329483e-19	36.1844071372066
"47658"	"PGA_scaffold22__59_contigs__length_10008237"	6533638	6533638	"+"	1.19773579575004e-14	9.51900087480158e-13	33.8438467183561
"47672"	"PGA_scaffold22__59_contigs__length_10008237"	6570627	6570627	"+"	1.55319582032871e-16	1.71944270138383e-14	26.9228941540976
"47674"	"PGA_scaffold22__59_contigs__length_10008237"	6570751	6570751	"+"	1.22884689879521e-10	4.37367473074025e-09	-28.6316776007498
"47724"	"PGA_scaffold22__59_contigs__length_10008237"	6611206	6611206	"+"	4.0988462645185e-18	6.01028713292268e-16	-34.6051464063886
"47799"	"PGA_scaffold22__59_contigs__length_10008237"	6721504	6721504	"+"	3.60954932898385e-22	9.11910396606704e-20	32.1470847879299
"47833"	"PGA_scaffold22__59_contigs__length_10008237"	6759711	6759711	"+"	2.09887011492129e-09	5.67415697963851e-08	27.4705882352941
"48035"	"PGA_scaffold22__59_contigs__length_10008237"	6863527	6863527	"+"	7.26508107570603e-23	2.06421748452232e-20	-30.3820706364738
"48364"	"PGA_scaffold22__59_contigs__length_10008237"	9111834	9111834	"+"	1.25170991516466e-08	2.80731786902167e-07	26.0714285714286
"48622"	"PGA_scaffold22__59_contigs__length_10008237"	9295097	9295097	"+"	8.44886213453819e-20	1.55771863821589e-17	32.3876618431074
"48907"	"PGA_scaffold23__65_contigs__length_9586800"	469139	469139	"+"	1.6059793624506e-10	5.56200141561665e-09	26.3663967611336
"49033"	"PGA_scaffold23__65_contigs__length_9586800"	682396	682396	"+"	1.83807954525603e-21	4.18987742747603e-19	-30.6243555962882
"49112"	"PGA_scaffold23__65_contigs__length_9586800"	1172984	1172984	"+"	4.84616352884515e-14	3.45948485052278e-12	39.8161586840832
"49516"	"PGA_scaffold23__65_contigs__length_9586800"	4164464	4164464	"+"	1.75777891140622e-14	1.36034461181336e-12	-31.1731649885154
"49673"	"PGA_scaffold23__65_contigs__length_9586800"	4690869	4690869	"+"	4.7230078073507e-10	1.48311027658057e-08	25.3347016840043
"49674"	"PGA_scaffold23__65_contigs__length_9586800"	4690887	4690887	"+"	8.16015065464471e-28	4.78621010081559e-25	26.2527233115468
"49762"	"PGA_scaffold23__65_contigs__length_9586800"	6674908	6674908	"+"	1.57147699607091e-11	6.79961446139449e-10	36.8133203694701
"49897"	"PGA_scaffold23__65_contigs__length_9586800"	6754169	6754169	"+"	5.50293806308589e-12	2.65445844459289e-10	25.3621093875454
"49906"	"PGA_scaffold23__65_contigs__length_9586800"	6903693	6903693	"+"	4.01678195627257e-21	8.81559743567776e-19	40.7970145275223
"50024"	"PGA_scaffold23__65_contigs__length_9586800"	7097648	7097648	"+"	5.52415566973723e-24	1.86551674474654e-21	-32.2922521075873
"50098"	"PGA_scaffold23__65_contigs__length_9586800"	7148290	7148290	"+"	1.10039211497143e-07	1.94120358910343e-06	-29.1223808077741
"50102"	"PGA_scaffold23__65_contigs__length_9586800"	7148662	7148662	"+"	2.94130225214753e-32	3.05714984895339e-29	38.9216315941919
"50210"	"PGA_scaffold23__65_contigs__length_9586800"	7279652	7279652	"+"	3.34910545292744e-31	3.08171176868058e-28	-42.3808687507318
"50253"	"PGA_scaffold23__65_contigs__length_9586800"	7445623	7445623	"+"	5.3246723276276e-07	7.77253400999596e-06	26.8487531037461
"50256"	"PGA_scaffold23__65_contigs__length_9586800"	7445783	7445783	"+"	4.9140277518819e-06	5.39314911561339e-05	26.7441860465116
"50285"	"PGA_scaffold23__65_contigs__length_9586800"	7465585	7465585	"+"	1.01876955216984e-19	1.85444539742358e-17	-26.7015665837207
"50341"	"PGA_scaffold23__65_contigs__length_9586800"	7644053	7644053	"+"	1.16179022875638e-27	6.62071272635067e-25	29.9086426035646
"50444"	"PGA_scaffold23__65_contigs__length_9586800"	7687290	7687290	"+"	1.34409692156089e-13	8.85738712294716e-12	28.4632034632035
"50547"	"PGA_scaffold23__65_contigs__length_9586800"	7842410	7842410	"+"	0.000133420410998271	0.000897059833433865	-25.3538928210313
"50580"	"PGA_scaffold23__65_contigs__length_9586800"	7849876	7849876	"+"	1.04715418291031e-17	1.40410222160367e-15	-25.1685761047463
"50606"	"PGA_scaffold23__65_contigs__length_9586800"	7904526	7904526	"+"	4.14400222375259e-13	2.49030955889781e-11	27.6447558211416
"50610"	"PGA_scaffold23__65_contigs__length_9586800"	7904564	7904564	"+"	2.33706343839647e-11	9.7667248312044e-10	30.5592180440553
"50689"	"PGA_scaffold23__65_contigs__length_9586800"	7998910	7998910	"+"	1.22416960388767e-07	2.12792085572102e-06	25.6081081081081
"50698"	"PGA_scaffold23__65_contigs__length_9586800"	8000251	8000251	"+"	1.09014184013745e-58	1.09338396601615e-54	-51.1018660353711
"50825"	"PGA_scaffold23__65_contigs__length_9586800"	8091541	8091541	"+"	6.69311711721517e-12	3.17100742463426e-10	-26.8677237163572
"50960"	"PGA_scaffold23__65_contigs__length_9586800"	8625945	8625945	"+"	5.95946697278603e-24	1.98577763068094e-21	-32.9833038769601
"51032"	"PGA_scaffold23__65_contigs__length_9586800"	9155858	9155858	"+"	9.68730526340497e-28	5.61625185009513e-25	34.9634789040589
"51152"	"PGA_scaffold24__25_contigs__length_9615596"	37557	37557	"+"	6.44281966770993e-16	6.44908270830103e-14	-31.1454311454312
"51153"	"PGA_scaffold24__25_contigs__length_9615596"	37575	37575	"+"	1.56059751239344e-08	3.41680592108652e-07	-26.6030124267672
"51154"	"PGA_scaffold24__25_contigs__length_9615596"	39297	39297	"+"	4.62243051208416e-18	6.72885022814507e-16	-31.8969448244414
"51496"	"PGA_scaffold24__25_contigs__length_9615596"	1565439	1565439	"+"	6.67228799872761e-13	3.85311194477606e-11	-25.8527493010252
"51563"	"PGA_scaffold24__25_contigs__length_9615596"	1598318	1598318	"+"	1.77981305578958e-18	2.75905145553189e-16	-30.4411351159691
"51636"	"PGA_scaffold24__25_contigs__length_9615596"	2179616	2179616	"+"	2.3163678148376e-16	2.49812557667692e-14	-27.6882436275711
"51702"	"PGA_scaffold24__25_contigs__length_9615596"	2306038	2306038	"+"	2.03746421478663e-18	3.11038617303377e-16	32.3849814912745
"52307"	"PGA_scaffold24__25_contigs__length_9615596"	8168565	8168565	"+"	3.01902631571003e-18	4.49258905334392e-16	-29.5716723300617
"52661"	"PGA_scaffold25__121_contigs__length_9021638"	36283	36283	"+"	4.14414957429013e-12	2.0546092153062e-10	28.5147392290249
"53079"	"PGA_scaffold25__121_contigs__length_9021638"	3480973	3480973	"+"	1.2185818704226e-12	6.67143003352e-11	-25.0906739836629
"53155"	"PGA_scaffold25__121_contigs__length_9021638"	3595136	3595136	"+"	5.66578301192332e-19	9.30054546566496e-17	34.6811594202899
"53178"	"PGA_scaffold25__121_contigs__length_9021638"	3659556	3659556	"+"	1.62534902176819e-09	4.50451195200217e-08	-31.1509918652776
"53294"	"PGA_scaffold25__121_contigs__length_9021638"	5218267	5218267	"+"	1.18773707074021e-17	1.58413490528984e-15	29.4196453701098
"53339"	"PGA_scaffold25__121_contigs__length_9021638"	5251989	5251989	"+"	1.11568846008326e-15	1.06673647534973e-13	-31.6000845487212
"53440"	"PGA_scaffold25__121_contigs__length_9021638"	5453800	5453800	"+"	3.50980796747735e-05	0.000290138158590871	26.4516129032258
"53562"	"PGA_scaffold25__121_contigs__length_9021638"	5605271	5605271	"+"	1.58710512714909e-16	1.75504436816172e-14	31.9094616050808
"53596"	"PGA_scaffold25__121_contigs__length_9021638"	5658383	5658383	"+"	2.76977507656893e-10	9.15023879959402e-09	-25.162037037037
"53619"	"PGA_scaffold25__121_contigs__length_9021638"	5660097	5660097	"+"	2.55816078144663e-48	1.28288442748534e-44	50.1062407486989
"53639"	"PGA_scaffold25__121_contigs__length_9021638"	5664997	5664997	"+"	4.00886747991012e-14	2.89891132932214e-12	26.1255581822958
"53667"	"PGA_scaffold25__121_contigs__length_9021638"	5668048	5668048	"+"	5.20638350832554e-18	7.45981071891174e-16	32.9351262198195
"53681"	"PGA_scaffold25__121_contigs__length_9021638"	5745097	5745097	"+"	6.78833276989707e-09	1.63078360379181e-07	31.9528684566351
"53704"	"PGA_scaffold25__121_contigs__length_9021638"	5749991	5749991	"+"	2.2007319927169e-20	4.34503357988524e-18	33.88949902847
"53741"	"PGA_scaffold25__121_contigs__length_9021638"	5757881	5757881	"+"	5.69119430628359e-22	1.3990490559063e-19	35.6373233292619
"53787"	"PGA_scaffold25__121_contigs__length_9021638"	5771088	5771088	"+"	2.91792602233485e-21	6.47478772615324e-19	32.1442925283042
"53891"	"PGA_scaffold25__121_contigs__length_9021638"	5800962	5800962	"+"	3.64625469836405e-13	2.21911335385946e-11	26.0561683443992
"53892"	"PGA_scaffold25__121_contigs__length_9021638"	5800971	5800971	"+"	1.37484403054197e-12	7.45369120128679e-11	25.8182441309191
"53910"	"PGA_scaffold25__121_contigs__length_9021638"	5802187	5802187	"+"	1.97175836109851e-12	1.03757736103432e-10	-29.5506747057135
"53947"	"PGA_scaffold25__121_contigs__length_9021638"	5804895	5804895	"+"	2.41219253696501e-22	6.26778884723384e-20	-26.3223947197174
"53948"	"PGA_scaffold25__121_contigs__length_9021638"	5804897	5804897	"+"	1.32137319736016e-26	6.1356621048052e-24	-31.3380350100056
"53953"	"PGA_scaffold25__121_contigs__length_9021638"	5804974	5804974	"+"	3.9971422712326e-10	1.27432610738968e-08	25.6211736895924
"53959"	"PGA_scaffold25__121_contigs__length_9021638"	5805315	5805315	"+"	1.28092037885445e-15	1.20405800170152e-13	25.1530313274735
"54182"	"PGA_scaffold25__121_contigs__length_9021638"	6155559	6155559	"+"	5.01337249899267e-24	1.71030016032829e-21	-31.4364781034523
"54265"	"PGA_scaffold25__121_contigs__length_9021638"	6173573	6173573	"+"	1.48087618816923e-39	3.454140404154e-36	45.8757458757459
"54273"	"PGA_scaffold25__121_contigs__length_9021638"	6175478	6175478	"+"	5.83779678241058e-17	6.99541054469776e-15	-25.4642014162077
"54286"	"PGA_scaffold25__121_contigs__length_9021638"	6182295	6182295	"+"	7.60656440743536e-11	2.82981700197292e-09	28.9929788383169
"54311"	"PGA_scaffold25__121_contigs__length_9021638"	6228407	6228407	"+"	5.39359437501397e-36	8.58672244858453e-33	41.5752461322082
"54381"	"PGA_scaffold25__121_contigs__length_9021638"	6740239	6740239	"+"	5.99236035403501e-32	5.95067512459748e-29	43.4389140271493
"54387"	"PGA_scaffold25__121_contigs__length_9021638"	6740966	6740966	"+"	8.16400955838839e-11	3.02039456018959e-09	31.4187141591683
"54403"	"PGA_scaffold25__121_contigs__length_9021638"	6741879	6741879	"+"	2.07607396002709e-30	1.7497884771983e-27	38.5773366418528
"54412"	"PGA_scaffold25__121_contigs__length_9021638"	6744543	6744543	"+"	6.61832005393632e-18	9.21944889608831e-16	30.1596688350089
"54426"	"PGA_scaffold25__121_contigs__length_9021638"	6778136	6778136	"+"	2.69958639323794e-14	2.01910147072753e-12	33.3934426229508
"54782"	"PGA_scaffold25__121_contigs__length_9021638"	7449361	7449361	"+"	2.57642257564778e-30	2.10088208169564e-27	39.9922477511795
"54888"	"PGA_scaffold25__121_contigs__length_9021638"	7537372	7537372	"+"	2.72927232710946e-12	1.399483278775e-10	29.923273657289
"54957"	"PGA_scaffold25__121_contigs__length_9021638"	7561834	7561834	"+"	2.2234778929636e-19	3.86497505382108e-17	28.5691211675464
"54998"	"PGA_scaffold25__121_contigs__length_9021638"	7615555	7615555	"+"	4.06762135113052e-13	2.45028145428055e-11	32.7297917971493
"55003"	"PGA_scaffold25__121_contigs__length_9021638"	7619126	7619126	"+"	1.75164409235213e-19	3.08219921518645e-17	32.8105316200554
"55068"	"PGA_scaffold25__121_contigs__length_9021638"	7791910	7791910	"+"	2.36199729664503e-25	9.66947743689583e-23	-34.7738053916464
"55089"	"PGA_scaffold25__121_contigs__length_9021638"	7859767	7859767	"+"	9.45169140502405e-12	4.28368780711662e-10	-26.8308546577098
"55106"	"PGA_scaffold25__121_contigs__length_9021638"	7862668	7862668	"+"	2.26481351446168e-12	1.18063885725639e-10	27.5450169370654
"55135"	"PGA_scaffold25__121_contigs__length_9021638"	7867425	7867425	"+"	1.00761551508812e-15	9.72677771262486e-14	29.7018466934901
"55190"	"PGA_scaffold25__121_contigs__length_9021638"	8240169	8240169	"+"	5.69797666026422e-64	1.42873066826828e-59	-55.6912989466411
"55264"	"PGA_scaffold25__121_contigs__length_9021638"	8413522	8413522	"+"	2.42822960147272e-16	2.61314512276586e-14	25.7869249394673
"55307"	"PGA_scaffold25__121_contigs__length_9021638"	8419931	8419931	"+"	2.24599005409586e-79	1.1263348596319e-74	57.7758288158866
"55362"	"PGA_scaffold25__121_contigs__length_9021638"	8423339	8423339	"+"	1.04002356745274e-17	1.39823641861724e-15	-28.4846771845076
"55401"	"PGA_scaffold25__121_contigs__length_9021638"	8425563	8425563	"+"	8.83993724084105e-18	1.20301595269531e-15	-30.5202803142918
"55431"	"PGA_scaffold25__121_contigs__length_9021638"	8428038	8428038	"+"	2.96007835046778e-18	4.4245629554116e-16	-27.4772996446901
"55433"	"PGA_scaffold25__121_contigs__length_9021638"	8428059	8428059	"+"	1.16247084236209e-20	2.41893792036471e-18	-27.614299957271
"55436"	"PGA_scaffold25__121_contigs__length_9021638"	8428101	8428101	"+"	1.98658084477997e-27	1.1008226610377e-24	31.1257249378625
"55546"	"PGA_scaffold25__121_contigs__length_9021638"	8500423	8500423	"+"	2.21632491487018e-25	9.11031292916179e-23	-28.0397422126745
"55681"	"PGA_scaffold25__121_contigs__length_9021638"	8572910	8572910	"+"	4.0106114319717e-20	7.64741283729141e-18	27.5585037774092
"55706"	"PGA_scaffold25__121_contigs__length_9021638"	8706950	8706950	"+"	2.45835565044916e-22	6.37123229840075e-20	26.7080481272055
"56032"	"PGA_scaffold25__121_contigs__length_9021638"	8998521	8998521	"+"	5.66889777508628e-17	6.80114510300926e-15	27.3953548554053
"56149"	"PGA_scaffold26__34_contigs__length_3174094"	61776	61776	"+"	7.80129691045836e-26	3.38722869379825e-23	-34.9066802120371
"56206"	"PGA_scaffold26__34_contigs__length_3174094"	72643	72643	"+"	2.95664218018065e-32	3.05714984895339e-29	-32.5949637825814
"56249"	"PGA_scaffold26__34_contigs__length_3174094"	187091	187091	"+"	3.91601350109561e-27	2.03505693444074e-24	28.7446707975816
"56339"	"PGA_scaffold26__34_contigs__length_3174094"	266707	266707	"+"	1.70079819472616e-23	5.38125059077727e-21	-27.6022484977709
"56354"	"PGA_scaffold26__34_contigs__length_3174094"	317375	317375	"+"	5.44808268771393e-12	2.6346603209989e-10	-26.9298245614035
"56356"	"PGA_scaffold26__34_contigs__length_3174094"	317381	317381	"+"	1.38690091506423e-17	1.81833413649939e-15	-33.8824152542373
"56357"	"PGA_scaffold26__34_contigs__length_3174094"	317384	317384	"+"	4.0705679622475e-13	2.4505846313533e-11	-29.0517306427794
"56358"	"PGA_scaffold26__34_contigs__length_3174094"	317387	317387	"+"	4.37927932761712e-17	5.38932942488101e-15	-31.1771561771562
"56364"	"PGA_scaffold26__34_contigs__length_3174094"	317470	317470	"+"	2.89037741542393e-60	3.6237168933004e-56	52.2347949080622
"56536"	"PGA_scaffold26__34_contigs__length_3174094"	498305	498305	"+"	3.19679244638889e-13	1.96826263737739e-11	25.8861011549184
"56556"	"PGA_scaffold26__34_contigs__length_3174094"	499736	499736	"+"	3.66200343359906e-27	1.92298135066508e-24	48.1198347107438
"56569"	"PGA_scaffold26__34_contigs__length_3174094"	511838	511838	"+"	3.36288399565092e-32	3.44171974339599e-29	-39.4889452700254
"56570"	"PGA_scaffold26__34_contigs__length_3174094"	512704	512704	"+"	2.60100233736471e-25	1.0561691592741e-22	-34.2428774668953
"56608"	"PGA_scaffold26__34_contigs__length_3174094"	520636	520636	"+"	1.23508451285412e-20	2.55413959607783e-18	-34.0806572068708
"56661"	"PGA_scaffold26__34_contigs__length_3174094"	526011	526011	"+"	2.72485817968184e-26	1.22554350583116e-23	-26.2298340453125
